# Name,Set,Format,Mode,Bit_Depth,Width,Height,Classe,Id_Classe
315.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
44.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
1.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
109.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
98.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
264.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
262.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
150.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
140.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
151.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
243.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
389.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
20.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
215.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
24.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
356.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
244.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
87.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
412.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
308.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
233.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
10.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
168.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
2.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
22.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
122.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
185.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
112.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
153.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
88.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
283.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
67.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
378.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
206.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
251.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
360.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
89.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
58.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
367.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
393.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
354.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
130.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
214.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
57.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
132.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
411.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
342.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
166.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
141.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
377.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
403.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
21.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
99.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
409.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
158.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
63.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
321.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
42.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
431.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
113.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
292.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
18.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
316.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
345.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
12.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
413.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
43.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
357.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
287.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
41.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
355.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
417.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
31.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
341.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
175.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
145.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
231.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
207.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
282.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
305.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
120.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
252.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
300.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
143.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
29.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
358.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
232.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
335.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
173.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
218.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
340.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
17.jpg,Treino,JPEG,L,8,640,480,2 Reais,2
216.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
330.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
336.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
104.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
78.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
11.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
189.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
91.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
81.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
108.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
103.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
55.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
46.jpg,Treino,JPEG,RGB,8,640,480,2 Reais,2
